Division,Category,Sport,Gold,Silver,Bronze
Bogo City,"['Elementary', 'Secondary']",Archery,0,0,0
Bogo City,"['Elementary', 'Secondary']",Arnis,0,0,0
Bogo City,"['Elementary', 'Secondary']",Athletics,0,0,0
Bogo City,"['Elementary', 'Secondary']",Badminton,0,0,0
Bogo City,"['Elementary', 'Secondary']",Baseball,0,0,0
Bogo City,"['Elementary', 'Secondary']",Basketball,0,0,0
Bogo City,"['Elementary', 'Secondary']",Billiards,0,0,0
Bogo City,"['Elementary', 'Secondary']",Boxing,0,0,0
Bogo City,"['Elementary', 'Secondary']",Chess,0,0,0
Bogo City,"['Elementary', 'Secondary']",Dancesport,0,0,0
Bogo City,"['Elementary', 'Secondary']",Football,0,0,0
Bogo City,"['Elementary', 'Secondary']",Futsal,0,0,0
Bogo City,"['Elementary', 'Secondary']",Gymnastics,0,0,0
Bogo City,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
Bogo City,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
Bogo City,"['Elementary', 'Secondary']",Softball,0,0,0
Bogo City,"['Elementary', 'Secondary']",Swimming,0,0,0
Bogo City,"['Elementary', 'Secondary']",Table Tennis,0,0,0
Bogo City,"['Elementary', 'Secondary']",Taekwondo,0,0,0
Bogo City,"['Elementary', 'Secondary']",Volleyball,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Archery,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Arnis,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Athletics,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Badminton,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Baseball,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Basketball,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Billiards,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Boxing,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Chess,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Dancesport,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Football,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Futsal,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Gymnastics,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Softball,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Swimming,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Table Tennis,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Taekwondo,0,0,0
Bohol Province,"['Elementary', 'Secondary']",Volleyball,0,0,0
Carcar City,"['Elementary', 'Secondary']",Archery,0,0,0
Carcar City,"['Elementary', 'Secondary']",Arnis,0,0,0
Carcar City,"['Elementary', 'Secondary']",Athletics,0,0,0
Carcar City,"['Elementary', 'Secondary']",Badminton,0,0,0
Carcar City,"['Elementary', 'Secondary']",Baseball,0,0,0
Carcar City,"['Elementary', 'Secondary']",Basketball,0,0,0
Carcar City,"['Elementary', 'Secondary']",Billiards,0,0,0
Carcar City,"['Elementary', 'Secondary']",Boxing,0,0,0
Carcar City,"['Elementary', 'Secondary']",Chess,0,0,0
Carcar City,"['Elementary', 'Secondary']",Dancesport,0,0,0
Carcar City,"['Elementary', 'Secondary']",Football,0,0,0
Carcar City,"['Elementary', 'Secondary']",Futsal,0,0,0
Carcar City,"['Elementary', 'Secondary']",Gymnastics,0,0,0
Carcar City,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
Carcar City,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
Carcar City,"['Elementary', 'Secondary']",Softball,0,0,0
Carcar City,"['Elementary', 'Secondary']",Swimming,0,0,0
Carcar City,"['Elementary', 'Secondary']",Table Tennis,0,0,0
Carcar City,"['Elementary', 'Secondary']",Taekwondo,0,0,0
Carcar City,"['Elementary', 'Secondary']",Volleyball,0,0,0
Cebu City,"['Elementary', 'Secondary']",Archery,0,0,0
Cebu City,"['Elementary', 'Secondary']",Arnis,0,0,0
Cebu City,"['Elementary', 'Secondary']",Athletics,0,0,0
Cebu City,"['Elementary', 'Secondary']",Badminton,0,0,0
Cebu City,"['Elementary', 'Secondary']",Baseball,0,0,0
Cebu City,"['Elementary', 'Secondary']",Basketball,0,0,0
